name,diameter,center_lon,center_lat,type,code
Catena Kurchatov,234.913000000000000,136.603346789011000,37.246545224027500,"Catena, catenae",CA
Catena Leuschner (GDL),200.058000000000000,248.695543856508000,5.073662985005540,"Catena, catenae",CA
Catena Littrow,10.299800000000000,29.611389980475800,22.230806055378900,"Catena, catenae",CA
Catena Lucretius (RNII),232.065000000000000,233.554266396000000,-4.025842905999920,"Catena, catenae",CA
Catena Mendeleev,125.220000000000000,139.216618789354000,6.630199158953580,"Catena, catenae",CA
Catena Michelson (GIRD),450.598000000000000,246.418845657000000,-0.442236825999942,"Catena, catenae",CA
Catena Pierre,9.435030000000000,328.141632575329000,19.761239165647000,"Catena, catenae",CA
Catena Taruntius,69.238900000000000,48.706421841937000,3.043059278607580,"Catena, catenae",CA
Catena Timocharis,48.369300000000000,346.794017099844000,29.094924392000100,"Catena, catenae",CA
Catena Yuri,4.517520000000000,329.618392213150000,24.408144245220900,"Catena, catenae",CA
Vallis Christel,2.100180000000000,11.081438155053900,24.544103760758600,"Vallis, valles",VA
Dorsum Arduino,99.732300000000000,323.734793045163000,24.773443106116400,"Dorsum, dorsa",DO
Dorsum Azara,103.196000000000000,19.166419008000000,26.860561283000000,"Dorsum, dorsa",DO
Tisserand B,8.717740000000000,51.374009343116500,20.647238606317300,Satellite Feature,SF
Tisserand D,5.666540000000000,49.465639573634700,21.756420398408700,Satellite Feature,SF
Dorsa Dana,82.311900000000000,89.595195241000100,2.262317931000040,"Dorsum, dorsa",DO
