name,diameter,center_lon,center_lat
Blancanus G,9.33,334.81,-63.13
Apianus,63.43,7.86,-26.96
Apollo,524.23,208.52,-35.68
Anuchin,62.13,101.65,-48.85
Asada,12.37,49.90,7.24
Apollonius,50.66,60.96,4.50
Tucker,6.78,88.20,-5.61
Appleton,64.59,158.16,37.04
Artsimovich,7.95,323.37,27.61
Montes Recti,83.23,340.27,48.29
Aryabhata,21.88,35.17,6.20
Arzachel,96.98,358.06,-18.26
Montes Carpatus,333.59,336.37,14.56
Asclepi,40.56,25.52,-55.18
Ashbrook,157.68,249.42,-81.10
Montes Caucasus,443.50,9.93,37.51
Auwers,19.64,17.11,14.99
Aston,44.47,272.31,32.76
Yoshi,0.50,10.99,24.56
Atlas,88.11,44.38,46.74
Galilaei,15.98,297.16,10.48
Atwood,28.64,57.77,-5.87
Autolycus,38.87,1.48,30.67
Zasyadko,10.26,94.18,3.95
Auzout,32.92,64.00,10.20
Avery,10.72,81.36,-1.31
Hippalus A,7.61,327.14,-23.82
Avicenna,72.98,262.72,39.62
Borel,4.66,26.42,22.37
Avogadro,129.84,165.36,63.21
Azophi,47.54,12.69,-22.19
Harpalus S,4.42,309.59,51.55
Baade,57.85,277.96,-44.74
Babakin,19.15,123.26,-20.81
Harpalus T,4.34,310.42,50.12
Babbage,146.55,302.61,59.56
Babcock,95.27,94.13,4.13
Messier E,5.01,45.43,-3.34
Back,34.63,80.66,1.19
Backlund,75.46,103.34,-16.21
Hevelius L,7.59,289.52,2.04
Baco,65.30,19.09,-51.04
Baillaud,89.43,37.35,74.60
Hippalus B,4.98,329.60,-25.23
Bailly,300.56,291.10,-66.82
Baily,25.67,30.55,49.77
Hippalus C,3.33,329.36,-24.14
Balandin,11.80,152.58,-18.94
Balboa,69.19,276.69,19.23
Hyginus C,4.14,8.31,7.68
Baldet,55.75,208.04,-53.31
Boole,61.33,272.71,63.78
Hyginus D,4.71,4.32,11.40
Borda,45.40,46.52,-25.19
Gardner,17.61,33.81,17.74
Borman,50.72,211.74,-39.06
Glauber,15.24,142.66,11.31
Golitsyn,35.46,254.80,-25.19
Born,15.06,66.82,-6.05
Al-Khwarizmi M,16.40,107.44,3.05
Boscovich,41.52,11.01,9.71
Lippershey M,1.84,349.10,-24.27
Bayer,48.51,324.85,-51.62
Bose,92.55,190.63,-53.95
Bawa,1.57,102.55,-25.27
Suess J,3.31,311.46,6.89
Beals,52.60,86.57,37.10
Marius K,3.61,309.30,9.39
Beaumont,50.68,28.82,-18.08
Behaim,56.21,79.40,-16.60
Marius U,2.29,312.30,9.56
Beer,9.05,350.89,27.07
Becquerel,62.85,129.50,40.79
Fairouz,2.86,102.94,-26.06
Beijerinck,76.76,151.83,-13.40
Das,35.94,222.95,-26.49
Beketov,8.29,29.17,16.23
Bell,86.33,263.46,21.97
Nöggerath P,9.93,318.05,-47.69
Bellinsgauzen (Bellingshausen),63.22,195.15,-60.71
Bellot,17.49,48.19,-12.47
Pontanus O,10.08,14.09,-26.09
Belopol'skiy,61.90,231.76,-17.25
Bel'kovich,215.08,90.14,61.52
Pontanus Q,4.69,14.39,-27.41
Belyaev,55.90,143.11,23.09
Benedict,13.83,141.53,4.34
Bergman,22.50,137.48,6.97
Bergstrand,42.98,176.44,-18.72
Pontanus R,5.85,15.60,-28.19
Berkner,87.61,254.76,25.12
Berlage,93.74,196.39,-63.04
Stöfler T,4.68,8.10,-39.68
Bernoulli,47.29,60.61,34.92
Römer Z,11.59,37.04,24.12
Boethius,11.16,72.33,5.56
Berosus,75.23,69.99,33.49
Heraclitus A,4.96,4.54,-49.41
Bessel,15.56,17.92,21.73
Stevinus A,7.86,51.64,-31.85
Bettinus,71.78,314.83,-63.39
Berzelius,48.53,50.95,36.55
Bessarion,9.84,322.69,14.85
Be?vá?,66.61,125.07,-2.57
Bianchini,37.58,325.62,48.78
Bhabha,70.25,194.68,-55.49
Bingham,34.98,115.05,8.01
Biela,77.02,51.62,-54.99
Bilharz,44.55,56.34,-5.82
Billy,45.57,309.76,-13.83
Biot,13.00,51.07,-22.70
Mason B,9.80,29.66,41.84
Birkhoff,329.81,214.34,58.45
Bombelli,9.72,56.18,5.28
Mersenius L,3.71,311.59,-19.93
