name,diameter,center_lon,center_lat
Ins,2.77,108.89,24.48
Inuvik,20.52,331.68,78.58
Irbit,12.72,335.08,-24.34
Irharen,6.48,140.82,34.49
Isil,77.12,87.93,-27.01
Izendy,22.25,258.56,-28.88
Jal,4.80,331.23,-26.24
Jama,2.90,306.81,21.39
Jampur,27.89,278.45,38.71
Janssen,153.63,37.60,2.69
Jarry-Desloges,93.36,83.85,-9.37
Jeans,73.60,154.18,-69.63
Jen,8.88,349.42,39.88
Jez?a,9.22,322.07,-48.42
Jijiga,16.15,306.04,25.10
Jodrell,3.02,132.30,47.46
Johnstown,3.36,308.93,-9.80
Joly,76.99,317.31,-74.50
Jones,90.10,340.17,-18.88
Jumla,49.22,86.44,-21.29
Kachug,4.85,107.58,18.14
Kagul,9.13,340.97,-23.73
Kaiser,201.66,19.10,-46.19
Kaj,1.82,330.61,-27.04
Kakori,28.08,330.14,-41.49
Kamativi,58.81,99.99,-20.50
Kamloops,63.96,327.39,-53.45
Kampot,13.23,314.40,-41.78
Kanab,14.54,340.99,-27.20
Kansk,33.35,342.73,-20.52
Kantang,52.43,342.42,-24.44
Karpinsk,28.84,327.84,-45.57
